Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
"Arpan, I; Shah, VV; McNames, J; Harker, G; Carlson-Kuhta, P; Spain, R; El-Gohary, M; Mancini, M; Horak, FB",2022,"Arpan et al, 2022",Fall Prediction Based on Instrumented Measures of Gait and Turning in Daily Life in People with Multiple Sclerosis,10.3390/s22165940,13,10,49.1 (3.5),49.1,not reported: n=13,EDSS 4.2 (0.18),16.8 (2.9),not reported,not reported,MS patients,"MS patients (non-fallers)
n=13 (85% female)
age: 49.2 (2.4)
EDSS: 4.3 (0.23)
Disease duration: 13.8 (2)","APDM Opal IMU 
Type of sensor: accelerometer, gyroscope, magnetometer 
Number of axes: 3 
Number of wearables: 3 
Position: lower back, foot (instrumented socks)",real-world,"7 days (at least 8h/day, charging during night hours)",,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Gait,RW: Balance,,,no,,yes,some significant,no,,yes,some significant,no,,no,,no,,no,,no,,
"Drouin, P; Stamm, A; Chevreuil, L; Graillot, V; Barbin, L; Gourraud, PA; Laplaud, DA; Bellanger, L",2022,"Drouin et al, 2022",Semi-supervised clustering of quaternion time series: Application to gait analysis in multiple sclerosis using motion sensor data,10.1002/sim.9625,27,not reported,not reported,NA,not reported: n=27,EDSS Range 0-6,not reported,not reported,not reported,none,none,"Mbientlab MetaMotion R
Type of sensor: accelerometer, gyroscope, magnetometer 
Number of axes: 3 
Number of wearables: 1 
Position: waist (belt clip on the right hip)",laboratory,during tests,,yes,no,no,applies partially,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,"Very technical, tries to form patient groups with sem-supervised clustering. Comparison of 2 different main techniques. No clinical outcome measures. Group assessment based on information of T25FW, EDSS and sensor data. Would include the data to our analysis. Additional comment: they talk about a 9-axis IMU interpreting 3 axes per acc/gyro/magneto (3x3), therefore I summerized the device as a 3-axis system in the device section."
"Brenton, JN; Florenzo, B; Koshiya, H; Min, S; Woolbright, E; Coleman, R; Chen, SS; Goldman, M",2022,"Brenton et al, 2022",Six-Minute Walk as a Measure of Walking Capacity and Endurance in Patients With Pediatric-Onset Multiple Sclerosis,10.1212/WNL.0000000000201098,45,35,16.9 (2.7),16.9,RR: n=45,EDSS 1.5 (Q1 1.5/Q3 2.0),2.8 (2.6),not reported,not reported,healthy,"healthy
n=85 (65% female)
age: 17.7 (3.3)","ActiGraph GTX 
Type of sensor: accelerometer 
Number of axes: 3 
Number of wearables: 1 
Position: waist",real-world,7 days,,yes,yes,yes,yes,no,yes,yes,no,yes,RW: Gait,,,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,
"Graves, JS; Ganzetti, M; Dondelinger, F; Lipsmeier, F; Belachew, S; Bernasconi, C; Montalban, X; van Beek, J; Baker, M; Gossens, C; Lindemann, M",2022,"Graves et al, 2022",Preliminary validity of the Draw a Shape Test for upper extremity assessment in multiple sclerosis,10.1002/acn3.51705,69,47,39.4 (7.8),39.4,"RR: n=62
P: n=7",EDSS 2.43 (1.36),9.1 (6.5),not reported,not reported,healthy,"healthy
n=18 (33% female)
age: 35 (8.9)","Samsung Galaxy S7 (smartphone)
Floodlight app
Type of sensor: touchscreen
Number of wearables: 1
Position: hand",real-world,24 weeks,NCT02952911,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Dexterity/Tremor,,,,no,,yes,some significant,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Keller, JL; Tian, F; Fitzgerald, KC; Mische, L; Ritter, J; Costello, MG; Mowry, EM; Zippunikov, V; Zackowski, KM",2022,"Keller et al, 2022",Using real-world accelerometry-derived diurnal patterns of physical activity to evaluate disability in multiple sclerosis,10.1177/20556683211067362,60,43,47.53 (11.73),47.53,RR: n=60,EDSS Range 1-6.5,not reported,not reported,not reported,none,none,"ActiGraph GTX-9
Type of sensor: accelerometer 
Number of axes: 3 
Number of wearables: 1 
Position: non-dominant wrist",real-world,2 weeks,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Bois, A; Tervil, B; Moreau, A; Vienne-Jumeau, A; Ricard, D; Oudre, L",2022,"Bois et al, 2022",A topological data analysis-based method for gait signals with an application to the study of multiple sclerosis,10.1371/journal.pone.0268475,22,13,58 (11),58,P: n=22,EDSS 5.0 Range 3.5-6),not reported,not reported,not reported,healthy,"healthy
n=10 (60% female)
age: 26 (1)","Xsens 
Type of sensor: accelerometer, gyroscope, magnetometer 
Number of axes: 3 
Number of wearables: 4 
Position: head, lower back, foot",laboratory,during tests,,yes,applies partially,yes,yes,yes,applies partially,applies partially,no,yes,Lab: Gait,,,,yes,significance not tested,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,"Very technical, Gait visualization, would include it into our data"
"Chikersal, P; Venkatesh, S; Masown, K; Walker, E; Quraishi, D; Dey, A; Goel, M; Xia, ZQ",2022,"Chikersal et al, 2022",Predicting Multiple Sclerosis Outcomes During the COVID-19 Stay-at-home Period: Observational Study Using Passively Sensed Behaviors and Digital Phenotyping,10.2196/38495,56,48,43.5 [IQR 37-52],43.5,not reported: n=56,PDDS 1 (IQR 0-3),13 (IQR 6.7-17.4),"High efficacy n=38
Standard efficacy n=12",not reported,none,none,"Bring-your-own-smartphone
AWARE app
Type of sensor: others (GPS)
Number of wearables: 1 
Position: not reported

Fitbit Inspire HR (smartwatch)
Type of sensor: accelerometer, others (PPG)
Number of axes: 3 
Number of wearable: 1 
Position: wrist",real-world,"12 weeks (n=56), 24 weeks (n=39/56)",,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,"Machine Learning Approach to predict health outcomes. 1 Accelerometer used with a Fitbit Device (step counts, sleep) amongst others"
"van Gelder, LMA; Angelini, L; Buckley, EE; Mazza, C",2021,"van et al, 2021",A Proposal for a Linear Calculation of Gait Asymmetry,10.3390/sym13091560,20,6,45 (14),45,not reported: n=20,EDSS 3.7 (1.6),not reported,not reported,not reported,healthy,"mixed
healthy: n=24 (67% female), age: 50 (8);
PD: n=20 (30% female); age: 59 (7)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Position: lower back, both ankles",laboratory,during tests,,yes,no,applies partially,applies partially,applies partially,yes,yes,applies partially,yes,Lab: Gait,,,,no,,no,,yes,significant,no,,yes,non-significant,no,,no,,no,,no,,Two control groups n=20 PD and n=24 HC
"Delahaye, C; Chaves, D; Congnard, F; Noury-Desvaux, B; de Mullenheim, PY",2021,"Delahaye et al, 2021",Measuring Outdoor Walking Capacities Using Global Positioning System in People with Multiple Sclerosis: Clinical and Methodological Insights from an Exploratory Study,10.3390/s21093189,12,11,55 (48-61),55,not reported: n=12,"EDSS
4 and below: n=4
4.5 n=4
5.0 n=1
6.0 n=3",not reported,unchanged during the last 3 months,not reported,none,none,"GlobalSat DG100
Type of sensor: others (GPS)
Number of axes: n/a
Number of wearables: 1
Position: upper arm (antenna on right shoulder)",laboratory,during tests,,yes,yes,yes,yes,yes,yes,yes,yes,yes,Lab: Gait,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Tonning, LU; Mechlenburg, I; Christiansen, DH; Andersen, NBV; Stabel, HH; Pedersen, AR; Nielsen, JF; Grimm, B; Naess-Schmidt, E",2022,"Tonning et al, 2022",Disability and physical activity in people with chronic disease receiving physiotherapy. A prospective cohort study,10.3389/fspor.2022.1006422,24,19,55.5 (7.8),55.5,not reported: n=24,not reported,"10.5 (median), IQR: 6-18",not reported,not reported,other disease(s),"mixed
PD: n=24, 38% female, age: 66.5 (7.8), disease duration: 7 (median), IQR: 4-9;
RA: n=8, 88% female, age: 57.0 (16.1), disease duration: 11.5 (median), IQR: 8-16.5;
Stroke: n=14, 50% female, age: 65.1 (12.7), disease duration: 8 (median), IQR: 2-13","Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper leg",real-world,"for at least 7 consecutive days
average at BL: 6.4 days (SD 1.6)/at FU: 6.7 days (SD1.4)",,yes,yes,yes,no,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,non-significant,no,,no,,no,,no,,no,,yes,non-significant,no,,all participants were pooled for the results.
"Warmerdam, E; Hansen, C; Romijnders, R; Hobert, MA; Welzel, J; Maetzler, W",2022,"Warmerdam et al, 2022",Full-Body Mobility Data to Validate Inertial Measurement Unit Algorithms in Healthy and Neurological Cohorts,10.3390/data7100136,21,13,39 (13),39,not reported: n=21,not reported,not reported,not reported,not reported,healthy,"mixed
healthy (young): n=43 (49% female), age: 29 (8);
healthy (over 60): n=24 (50% female), age: 72 (6);
PD: n=34 (38% female), age: 65 (11);
Stroke: n=23 (26% female), age: 68 (16);
Chronic low back pain: n=10 (30% female), age: 64 (15);
Other: n=12 (25% female), age: 66 (17)","Noraxon myoMOTION
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 16
Position: head, sternum, upper arm, lower arm, lower back, upper leg, lower leg, ankle, foot, others (pocket)",laboratory,during tests,,no,applies partially,yes,no,yes,no,no,applies partially,no,Lab: Gait,,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,This is not a clinical study but an assessment of HC and patients of different diseases with IMUs and an optical motion capture system. The dataset can be used to develop and validate algorithms or to answer clinical researc questions.
"Allum, JHJ; Rust, HM; Lutz, N; Schouenborg, C; Fischer-Barnicol, B; Haller, V; Derfuss, T; Kuhle, J; Yaldizli, O",2021,"Allum et al, 2021",Characteristics of improvements in balance control using vibro-tactile biofeedback of trunk sway for multiple sclerosis patients,10.1016/j.jns.2021.117432,16,11,54.3 (7.1),54.3,"RR: n=13
P: n=3","EDSS: 3 (median), range 2.5-4.0",12.7 (9.1),"fingolimod: n=4
leflunomid: n=1
natalizumab: n=1
ocrelizumab: n=7
tecfidera: n=1
no treamtment: n=2",not reported,none,none,"Balance International Innovations GmbH SwayStar
Type of sensor: gyroscope
Number of axes: 2
Number of wearables: 1
Position: waist",laboratory,during tests,,yes,yes,yes,yes,no,yes,yes,no,yes,Lab: Balance,,,,no,,no,,no,,no,,no,,no,,no,,yes,some significant,no,,
"Motl, RW; Sandroff, BM; Benedict, RHB",2022,"Motl et al, 2022","Moderate-to-vigorous physical activity is associated with processing speed, but not learning and memory, in cognitively impaired persons with multiple sclerosis",10.1016/j.msard.2022.103833,60,48,49.5 (10.0),49.5,"RR: n=48,
P: n=11,
not reported: n=1",EDSS: 3.5 (2.0),13.9 (8.6),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,no,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Frechette, M; Fanning, J; Hsieh, K; Rice, L; Sosnoff, J",2022,"Frechette et al, 2022",The Usability of a Smartphone-Based Fall Risk Assessment App for Adult Wheelchair Users: Observational Study,10.2196/32453,6,not reported,not reported,NA,not reported: n=6,not reported,not reported,not reported,not reported,none,none,"Samsung Galaxy S6 (smartphone)
Steady-Wheels app
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: others (chest)",laboratory,during tests,,yes,yes,applies partially,no,applies partially,applies partially,no,no,yes,Lab: Balance,,,,no,,no,,no,,no,,no,,no,,no,,no,,yes,significance not tested,"Usability focussed on design and acceptability, no sensor data used for this first usability study"
"Shah, VV; Curtze, C; Sowalsky, K; Arpan, I; Mancini, M; Carlson-Kuhta, P; El-Gohary, M; Horak, FB; McNames, J",2022,"Shah et al, 2022",Inertial Sensor Algorithm to Estimate Walk Distance,10.3390/s22031077,29,not reported,not reported,NA,not reported: n=29,not reported,not reported,not reported,not reported,healthy,"healthy (impaired fasting glucose)
n=108 (female ratio not reported)
age: 71.2 (5.1)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: foot, wrist, sternum, lower back",laboratory,during tests,,yes,applies partially,applies partially,no,yes,yes,yes,no,yes,Lab: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Gulde, P; Hermsdorfer, J; Rieckmann, P",2021,"Gulde et al, 2021",Speed but Not Smoothness of Gait Reacts to Rehabilitation in Multiple Sclerosis0,10.1155/2021/5589562,76,50,50.8 (10.3),50.8,"RR: n=40,
PP: n=13,
SP: n=20,
not reported: n=3",EDSS: 3.9 (1.7),13.3 (8.7),not reported,not reported,none,none,"Microsoft Lumia 550 (smartphone)
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: sternum",laboratory,during tests,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,yes,some significant,no,,no,,no,,no,,no,,yes,some significant,no,,
"Scott, K; Bonci, T; Salis, F; Alcock, L; Buckley, E; Gazit, E; Hansen, C; Schwickert, L; Aminian, K; Bertuletti, S; Caruso, M; Chiari, L; Sharrack, B; Maetzler, W; Becker, C; Hausdorff, JM; Vogiatzis, I; Brown, P; Del Din, S; Eskofier, B; Paraschiv-Ionescu, A; Keogh, A; Kirk, C; Kluge, F; Mico-Amigo, EM; Mueller, A; Neatrour, I; Niessen, M; Palmerini, L; Sillen, H; Singleton, D; Ullrich, M; Vereijken, B; Froehlich, M; Brittain, G; Caulfield, B; Koch, S; Carsin, AE; Garcia-Aymerich, J; Kuederle, A; Yarnall, A; Rochester, L; Cereatti, A; Mazza, C",2022,"Scott et al, 2022","Design and validation of a multi-task, multi-context protocol for real-world gait simulation",10.1186/s12984-022-01116-1,20,9,48.7 (9.7),48.7,not reported: n=20,EDSS: 3.5 (1.7),not reported,not reported,not reported,healthy,"mixed
healthy: n=20 (45% female), age: 71.7 (5.8);
PD: n=20 (20% female), age: 69.8 (7.2);
Proximal femure fracture: n=19 (58% female), age: 80.0 (8.5);
Chronic obstructive pulmonary disease: n=17 (47% female), age: 69.4 (9.1);
Congestive heart failure: n=12 (33% female), age: 69.1 (11.7)","INDIP system with IMUs
Type of sensor: accelerometer, gyroscope, others (pressure insoles, infrared time-of-flight distance sensors)
Number of axes: 3
Number of wearables: 7
Position: foot, ankle, lower back",mixed,"lab: during tests
RW: 2.5h",,yes,yes,yes,yes,applies partially,yes,yes,no,yes,Lab: Gait,RW: Gait,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Validation of a protocol for measuring gait
"Sun S., Folarin A.A., Zhang Y., Cummins N., Liu S., Stewart C., Ranjan Y., Rashid Z., Conde P., Laiou P., Sankesara H., Dalla Costa G., Leocani L., Sørensen P.S., Magyari M., Guerrero A.I., Zabalza A., Vairavan S., Bailon R., Simblett S., Myin-Germeys I., Rintala A., Wykes T., Narayan V.A., Hotopf M., Comi G., Dobson R.J.",2022,"Sun et al, 2022",The utility of wearable devices in assessing ambulatory impairments of people with multiple sclerosis in free-living conditions,10.1016/j.cmpb.2022.107204,337,243,46.3 (9.7),46.3,"RR: n=227,
SP: n=110",EDSS: 3.4 (1.3),13.9 (7.6),not reported,not reported,none,none,"Fitbit Charge 2 / 3 (smartwatch)
Type of sensor: accelerometer, others (PPG)
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,10.5 (4.2) months,,yes,applies partially,yes,yes,applies partially,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Sato S.D., Hiroi Y., Zoppo D., Buonaccorsi J., Miehm J.D., van Emmerik R.E.A.",2022,"Sato et al, 2022",Spatiotemporal gait changes in people with multiple sclerosis with different disease progression subtypes,10.1016/j.clinbiomech.2022.105818,31,23,"RR: 52.5 (10.9)
SP: 60.7 (6.3)
PP: 57.3 (9.0)",55.5,"RR: n=18
SP: n=9
PP: n=4","EDSS:
RR: 2.2 (1.7)
SP: 4.4 (1.7)
PP: 4.9 (1.7)",not reported,not reported,not reported,healthy,"healthy
n=27 (81% female)
age: 55.9 (12.3)","APDM Opal Version 2
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 6
Position: sternum, lower back, wrist, foot",laboratory,,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,yes,some significant,yes,non-significant,no,,no,,no,,no,,no,,
"Lam K.-H., Twose J., Lissenberg-Witte B., Licitra G., Meijer K., Uitdehaag B., De Groot V., Killestein J.",2022,"Lam et al, 2022",The Use of Smartphone Keystroke Dynamics to Passively Monitor Upper Limb and Cognitive Function in Multiple Sclerosis: Longitudinal Analysis,10.2196/37614,102,75,46.4 (10.4),46.4,"RR: n=61,
SP: n=30,
PP: n=11","EDSS: 3.5 (median), range: 1.5-7.0",5.7 [3.0-13.1] (median),not reported,not reported,none,none,"Bring-your-own-smartphone
Neurokeys app
Type of sensor: touchscreen
Number of axes: not reported
Number of wearables: 1
Position: hand",real-world,,"NTR7268
https://trialsearch.who.int/Trial2.aspx?TrialID=NTR7268",yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Dexterity/Tremor,,,,no,,yes,significant,no,,no,,no,,no,,yes,,no,,no,,
"Hvid L.G., Stenager E., Dalgas U.",2022,"Hvid et al, 2022","Objectively assessed physiological, physical, and cognitive function along with patient-reported outcomes during the first 2 years of Alemtuzumab treatment in multiple sclerosis: a prospective observational study",10.1007/s00415-022-11134-7,17,12,35.8 (9.2),35.8,RR: n=17,EDSS: 3.0 (1.2),5.1 (4.1),Alemtuzumab: n=17,"no dementia, serious cognitive disorders or other disorders affecting physical function",none,none,"Axivity AX3
Type of sensor: accelerometer
Number of axes: not reported
Number of wearables: 1
Position: upper leg",real-world,7 days,NCT03806387,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,no,,yes,significance not tested,yes,significance not tested,no,,
"Cederberg K.L.J., Jeng B., Sasaki J.E., Motl R.W.",2022,"Cederberg et al, 2022",Physical Activity and Sedentary Behavior Timing in Fatigued and Nonfatigued Adults With Multiple Sclerosis,10.1016/j.apmr.2021.12.022,218,179,59.3 (10.1),59.3,"RR: n=153,
SP: n=38,
PP: n=24,
not reported: n=3","PDDS: 3.0 (median), IQR: 4.0",19.9 (9.3),disease-modifying therapy: n=184,,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,
"Silveira S.L., Cederberg K.L.J., Jeng B., Sikes E.M., Sandroff B.M., Jones C.D., Motl R.W.",2021,"Silveira et al, 2021",Do physical activity and social cognitive theory variable scores differ across symptom cluster severity groups in multiple sclerosis?,10.1016/j.dhjo.2021.101163,205,154,49.4 (13.2),49.4,"RR: n=183,
P: n=16","PDDS: 1.0 (median), 3.0 (IQR)",12.8 (9.4),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,yes,non-significant,no,,no,,no,,no,,no,,
"Negaresh R., Gharakhanlou R., Sahraian M.A., Abolhasani M., Motl R.W., Zimmer P.",2021,"Negaresh et al, 2021",Physical activity may contribute to brain health in multiple sclerosis: An MR volumetric and spectroscopy study,10.1111/jon.12869,52,35,37.3 (9.6),37.3,"RR: n=41,
P: n=11",EDSS: 2.1 (1.1),4.2 (3.1),"interferon beta: n=28,
fingolimod: n=9,
glatiramer acetate: n=6,
other drug: n=3,
no use: n=6",not reported,none,none,"ActiGraph GT1M
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Swanson C.W., Richmond S.B., Sharp B.E., Fling B.W.",2021,"Swanson et al, 2021",Middle-age people with multiple sclerosis demonstrate similar mobility characteristics to neurotypical older adults,10.1016/j.msard.2021.102924,30,20,47.8 (12.08),47.8,RR: n=30,"EDSS: 4.0 (median), range: 0-6.5",12.9 (10.67),not reported,not reported,healthy,"healthy middle-age adults and older adults (two groups)
n=19 (79% female) and n=21 (48% female)
age: 47.1 (10.5) and 70.3 (5.9)","APDM Opal V2
Type of sensor: accelerometer, gyroscope, magnetometer, others (barometer)
Number of axes: 3
Number of wearables: 6
Position: foot, lower back, wrist, sternum, waist",laboratory,,,yes,applies partially,yes,yes,yes,yes,yes,no,yes,Lab: Gait,Lab: Balance,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
